Customer Id,Recency,Frequency,Monetary,Avg_Order_Value,Unique_Product_Categories,Avg_Discount_Rate,Total_Profit
34,133,7,2989.68006526,427.09715218,3.0,0.07,405.129997227
35,403,4,2313.82004548,578.45501137,6.0,0.08,468.000008961
36,168,2,1389.8800507,694.94002535,5.0,0.09,-516.75999827
37,177,3,1329.76002124,443.2533404133333,3.0,0.11,243.200002632
38,333,6,2649.74005516,441.62334252666665,3.0,0.08,372.500005976
39,235,5,2934.70006185,586.94001237,3.0,0.1,84.13998792000001
40,152,7,5253.62011732,750.5171596171429,6.0,0.08,-170.24999360799998
41,137,4,2931.65006833,732.9125170825,5.0,0.12,507.909983567
42,248,7,3289.6600418,469.9514345428571,4.0,0.1,943.729990037
43,216,2,1159.8300247,579.91501235,5.0,0.1,560.08001135
44,323,6,2989.740078,498.290013,3.0,0.05,-209.40999601
45,218,5,3329.7400742,665.94801484,5.0,0.13,133.779994682
46,353,5,3887.62009048,777.524018096,4.0,0.08,482.79001336
47,622,1,679.9600067,679.9600067,5.0,0.1,183.86000162
48,172,4,3509.6200561,877.405014025,3.0,0.1,-139.28999516
49,629,3,1359.78001404,453.26000468,4.0,0.06,228.63000386999994
50,251,4,2009.65002061,502.4125051525,4.0,0.11,19.729998821000002
51,269,7,4513.43006532,644.7757236171428,5.0,0.07,-46.610005128999994
52,138,4,2119.77005,529.9425125,5.0,0.1,1070.73999315
53,477,6,4689.48011408,781.5800190133333,5.0,0.15,273.66998765
54,157,5,3109.68006908,621.936013816,4.0,0.07,986.929994682
55,130,6,4763.4000778399995,793.9000129733332,4.0,0.11,762.79999829
56,158,5,2529.7000656,505.94001312,5.0,0.12,645.649988816
57,457,5,2159.70003898,431.94000779600003,4.0,0.11,404.15000912
58,210,8,6615.16012588,826.895015735,4.0,0.12,-534.959991456
59,387,6,1869.75003816,311.62500636,5.0,0.1,-384.569992515
60,426,3,1859.57000352,619.85666784,4.0,0.1,272.569996839
61,599,3,1714.7500457800002,571.5833485933334,5.0,0.09,519.179999321
62,313,4,1749.83004386,437.457510965,5.0,0.09,419.00999641
63,149,4,1829.79003904,457.44750976,4.0,0.1,548.600008956
64,621,3,1404.8700409,468.29001363333333,4.0,0.13,446.610001823
65,195,6,3975.62008294,662.6033471566667,3.0,0.14,276.950003621
66,491,5,3809.54009254,761.9080185079999,5.0,0.1,637.750010045
67,225,2,1887.7700501,943.88502505,3.0,0.11,527.389988582
68,536,3,1609.79002758,536.59667586,3.0,0.08,459.73000143
69,138,5,1651.8100358,330.36200715999996,4.0,0.11,349.680000093
70,134,5,3309.49005496,661.8980109920001,4.0,0.15,430.959998944
71,566,7,2987.73005297,426.8185789957143,4.0,0.07,591.520014311
72,192,6,5274.53013244,879.0883554066667,5.0,0.11,71.539996211
73,701,4,2719.730053,679.93251325,5.0,0.12,726.45998763
74,160,5,3349.56004332,669.912008664,4.0,0.1,-311.450009344
75,199,4,2549.77004248,637.44251062,4.0,0.09,129.81998357999996
76,425,5,3329.65005492,665.930010984,4.0,0.06,-594.8999827760001
77,222,7,3142.72007947,448.9600113528572,4.0,0.12,773.110007826
78,528,1,309.9600067,309.9600067,6.0,0.11,947.000004544
79,365,5,3674.6800881199997,734.936017624,1.0,0.04,86.96000099
80,225,4,2259.7800408,564.9450102,5.0,0.05,871.340003717
81,451,1,431.97001077,431.97001077,5.0,0.12,-303.259988812
82,416,4,2674.54004105,668.6350102625,2.0,0.1,-69.620003703
83,375,4,2879.60004225,719.9000105625,4.0,0.09,91.279992577
84,125,4,2929.74006276,732.43501569,6.0,0.13,565.879994063
85,401,4,1929.70002758,482.425006895,5.0,0.11,800.99000929
86,408,5,1469.87001414,293.974002828,4.0,0.09,329.5700016
87,849,3,2474.69005972,824.8966865733333,5.0,0.13,409.360003955
88,208,5,2499.68004992,499.93600998399995,4.0,0.12,392.399999058
89,533,4,1299.76001356,324.94000339,5.0,0.12,357.460004696
90,306,5,3094.81006628,618.962013256,3.0,0.06,80.61000445
91,361,4,3343.7300643999997,835.9325160999999,5.0,0.1,507.76999765799997
92,250,6,2787.5500222,464.5916703666667,5.0,0.11,391.180006076
93,418,5,2069.84006124,413.96801224800004,5.0,0.09,-89.790012264
94,150,5,2789.59005734,557.918011468,4.0,0.09,-55.430002207
95,302,7,3282.63007923,468.9471541757143,4.0,0.1,-24.75000068799996
96,133,4,2789.72006998,697.430017495,5.0,0.08,665.180004006
97,248,4,2514.80005276,628.70001319,4.0,0.08,392.909994107
98,159,7,4379.48007564,625.6400108057143,4.0,0.1,112.27000231
99,158,6,2839.70006566,473.28334427666664,4.0,0.09,-269.590002532
100,187,6,4104.57009122,684.0950152033333,5.0,0.11,487.120002603
101,366,4,2079.79004668,519.94751167,5.0,0.07,404.10999781
102,281,4,3319.59004208,829.89751052,3.0,0.12,374.620001956
103,338,4,3179.71007164,794.92751791,5.0,0.11,893.11000775
104,1126,1,599.960022,599.960022,4.0,0.13,378.83999494
105,593,4,1379.92003636,344.98000909,1.0,0.06,-928.0599975
106,382,3,1409.8400268,469.9466756,2.0,0.1,-368.03000734999995
107,363,4,2009.63005824,502.40751456,4.0,0.09,-173.98999118
108,211,5,2289.70005028,457.940010056,3.0,0.12,603.60999776
109,299,7,4259.6100769,608.5157252714287,3.0,0.09,482.9100008
110,350,3,2639.7000427,879.9000142333333,4.0,0.12,350.12000216
111,250,3,1639.78003314,546.59334438,4.0,0.11,-455.110006999
112,245,7,3184.68007287,454.9542961242857,4.0,0.09,20.020008998000037
113,189,5,1658.75003056,331.750006112,4.0,0.09,671.4299879700001
114,637,4,2904.73007013,726.1825175325,5.0,0.09,473.68999671
115,241,1,1079.9200286999999,1079.9200286999999,4.0,0.09,319.660012716
116,916,2,324.9499969,162.47499845,2.0,0.08,269.8599997
117,373,2,429.90000918,214.95000459,2.0,0.11,-51.449999573
118,273,5,2699.51001742,539.902003484,3.0,0.13,4.730001457999991
119,742,7,3439.7400743,491.39143918571426,4.0,0.07,-378.67000304
120,369,4,2079.58004768,519.89501192,3.0,0.09,621.469996573
121,573,2,809.85001758,404.92500879,3.0,0.08,97.229995821
122,637,5,1996.75004966,399.35000993200003,4.0,0.07,294.77000238
123,252,8,6389.32015618,798.6650195225,4.0,0.09,58.07999800799999
124,152,5,3399.74007046,679.948014092,5.0,0.1,1047.290006456
125,341,6,2056.6200142,342.77000236666663,5.0,0.11,714.749997173
126,229,6,2569.7100373,428.28500621666666,5.0,0.07,677.87999532
127,700,3,1459.73002626,486.57667541999996,4.0,0.11,295.789999963
128,583,2,449.88999939999997,224.94499969999998,4.0,0.1,244.290009012
129,169,3,2877.72005088,959.24001696,1.0,0.06,62.049999712
130,125,2,779.95001608,389.97500804,5.0,0.15,918.33000756
131,257,3,1623.71000662,541.2366688733333,3.0,0.09,294.65999984
132,688,2,1479.82004164,739.91002082,5.0,0.08,277.90999596
133,137,4,1759.72002024,439.93000506,3.0,0.07,360.919999046
134,163,5,2625.66003231,525.132006462,4.0,0.09,-199.000005696
135,603,1,299.980011,299.980011,5.0,0.13,486.37999985199997
136,446,3,1614.83002275,538.2766742499999,1.0,0.0,-60.0
137,403,6,2849.62005624,474.93667604,5.0,0.09,188.979999776
138,287,5,2419.80005648,483.960011296,4.0,0.13,-200.24002071
139,258,6,3589.59008418,598.26501403,4.0,0.11,-69.36000398099998
140,189,6,4699.43013776,783.2383562933334,5.0,0.1,500.570005948
141,448,7,3979.59008422,568.5128691742857,3.0,0.13,520.259995957
142,240,5,5625.47013107,1125.094026214,5.0,0.1,-312.699999258
143,201,1,749.8900146999999,749.8900146999999,5.0,0.11,-1189.72999273
144,135,2,979.9500275,489.97501375,2.0,0.18,187.03000446
145,224,5,2445.6600342,489.13200684000003,3.0,0.1,353.78999711
146,157,7,2329.64003374,332.8057191057143,5.0,0.06,715.580000963
147,797,1,249.8999939,249.8999939,5.0,0.09,723.539992316
148,235,3,2009.7300415,669.9100138333333,1.0,0.05,116.3300018
149,664,4,3249.73007584,812.43251896,2.0,0.06,195.559997188
150,441,5,2629.77006916,525.954013832,4.0,0.1,-33.119982063999984
151,356,4,2525.79004676,631.44751169,4.0,0.11,745.93000392
152,425,3,1709.710022,569.9033406666666,5.0,0.16,524.840001614
153,135,2,1269.90002068,634.95001034,3.0,0.11,454.03000117
154,387,8,6889.3601723,861.1700215375,4.0,0.09,185.57999707
155,185,4,2389.73001866,597.432504665,4.0,0.1,1363.499988793
156,426,3,1939.7900390999998,646.5966797,4.0,0.06,-350.859977168
157,260,3,2206.83004002,735.61001334,3.0,0.06,642.35000613
158,800,1,729.9000091,729.9000091,4.0,0.11,471.41000801900003
159,138,3,1289.880010551,429.96000351699996,2.0,0.08,72.06000519
160,293,4,2139.8200493,534.955012325,4.0,0.09,267.42000168699997
161,375,5,2569.7000426600002,513.9400085320001,5.0,0.07,-483.10000416
162,557,2,1619.79004477,809.895022385,4.0,0.1,280.799986846
163,778,2,889.8400116,444.9200058,5.0,0.11,339.87999917
164,229,4,2594.69004452,648.67251113,2.0,0.08,-272.93000222
165,435,5,4089.54009637,817.908019274,4.0,0.11,-81.88998792100003
166,705,2,864.91001508,432.45500754,5.0,0.09,1070.459992874
167,760,1,329.980011,329.980011,4.0,0.12,240.00000001
168,134,7,3229.7100602,461.38715145714286,2.0,0.12,66.12999821
169,428,3,2809.85007486,936.61669162,4.0,0.08,-1220.419976186
170,266,4,1974.7900467,493.697511675,4.0,0.07,523.210006283
171,260,3,1329.8400231,443.2800077,4.0,0.14,245.34999692399998
172,199,8,6591.23010634,823.9037632925,5.0,0.09,2.8500094449999978
173,182,8,5779.3301067699995,722.4162633462499,5.0,0.1,757.0399907139999
174,175,9,5154.40013506,572.7111261177778,5.0,0.1,475.29000547199996
175,207,6,4444.57010656,740.7616844266666,5.0,0.09,-4.019988494000003
176,548,3,2379.59001906,793.19667302,5.0,0.09,225.85000691499997
177,203,1,599.9700164999999,599.9700164999999,4.0,0.08,451.009989741
179,189,3,1919.85004426,639.9500147533333,1.0,0.03,102.91999817
180,271,4,3119.54002772,779.88500693,,,
181,254,6,3536.44005775,589.4066762916667,4.0,0.09,419.870000824
182,132,5,3608.58004368,721.716008736,5.0,0.11,624.389999858
183,855,1,689.8700065400001,689.8700065400001,5.0,0.09,-83.53000378899998
184,371,5,2319.72003938,463.944007876,5.0,0.1,-108.25999403099999
185,192,4,1739.7600288400001,434.94000721000003,3.0,0.08,39.20999813899999
186,443,2,1329.91003422,664.95501711,4.0,0.07,65.19999687999999
187,162,6,4629.49011992,771.5816866533333,4.0,0.11,-136.03001388700002
188,228,6,2709.64002996,451.60667166,5.0,0.05,229.269999933
189,325,2,1909.8200378000001,954.9100189000001,5.0,0.09,592.929996884
190,163,5,3863.51008234,772.702016468,4.0,0.08,405.419998957
191,137,8,3389.62008664,423.70251083,4.0,0.15,547.160001733
192,204,7,4994.43006335,713.4900090499999,5.0,0.11,575.720004554
193,501,2,819.87001034,409.93500517,5.0,0.1,-307.86001010999996
194,158,7,5851.28008083,835.8971544042857,6.0,0.12,756.7500174390001
195,742,2,1335.8200226,667.9100113,3.0,0.09,95.180001979
196,334,4,3204.42003067,801.1050076675,5.0,0.12,1086.989996054
197,124,9,6423.33013544,713.7033483822222,3.0,0.13,271.12000466
198,440,6,2464.67003632,410.77833938666663,5.0,0.1,709.500004579
199,328,6,3624.45008088,604.0750134799999,6.0,0.12,688.649985494
200,160,2,1363.74998864,681.87499432,5.0,0.1,-282.24998283
201,299,2,169.9700012,84.9850006,5.0,0.11,807.819997041
202,143,4,1885.71003342,471.427508355,3.0,0.09,230.549997331
203,191,6,4419.66009154,736.6100152566668,1.0,0.19,27.369999409000002
204,166,4,2006.7700156199999,501.69250390499997,4.0,0.1,458.360002297
205,315,5,3984.53007325,796.90601465,5.0,0.1,1101.599994696
206,196,7,3599.6500740399997,514.2357248628571,5.0,0.1,307.790003792
207,192,7,4533.50005342,647.6428647742857,5.0,0.11,471.210004362
208,535,2,1404.90003208,702.45001604,5.0,0.11,925.419988105
209,224,5,3199.52005388,639.904010776,4.0,0.1,607.710005793
210,333,7,3413.55005437,487.6500077671429,3.0,0.1,-3.2500114540000027
211,189,3,1419.78001022,473.2600034066666,5.0,0.12,228.33000757699998
212,166,3,1099.93002131,366.6433404366667,6.0,0.08,-548.600013028
213,244,5,3219.59006116,643.918012232,3.0,0.1,-376.46002771999997
214,369,7,3512.59007456,501.79858208,4.0,0.13,334.320003075
215,291,6,3618.65009698,603.1083494966666,4.0,0.11,619.5700059650001
216,284,3,2409.71004878,803.2366829266666,5.0,0.11,664.100006078
217,365,4,2540.74007613,635.1850190325,5.0,0.06,758.110003537
218,146,4,2549.8600541,637.465013525,3.0,0.11,544.54000091
220,340,2,1349.81003948,674.90501974,5.0,0.12,250.139995388
221,126,13,6378.47006984,490.6515438338462,3.0,0.11,493.09000517699997
222,465,8,4294.69009223,536.83626152875,,,
223,126,5,3583.56009298,716.712018596,2.0,0.11,223.400002963
224,188,7,4341.59008617,620.2271551671429,6.0,0.11,1449.2100000990001
225,701,5,3577.63008882,715.526017764,5.0,0.08,173.35999107
226,267,5,2199.75002674,439.950005348,4.0,0.1,-2.1200237149999737
227,305,3,1509.87004474,503.2900149133333,4.0,0.08,888.880013492
228,125,5,4099.72008898,819.9440177959999,5.0,0.1,-554.399995241
229,139,6,3419.5800743199998,569.9300123866666,5.0,0.11,53.19999794900001
230,226,7,6648.4201624,949.7743089142857,3.0,0.14,348.359995854
231,556,4,1859.78003314,464.945008285,3.0,0.09,374.29002284800004
232,156,4,2519.85004808,629.96251202,4.0,0.1,810.180000825
233,172,5,3989.67007844,797.934015688,5.0,0.08,508.869966576
234,318,3,2024.7700385599999,674.9233461866667,3.0,0.08,224.469997891
235,274,4,2847.59006118,711.897515295,4.0,0.09,659.09000403
236,356,4,3779.6400833,944.910020825,4.0,0.11,762.999992915
237,772,2,969.9100266,484.9550133,5.0,0.1,528.300003976
238,297,7,5756.34009368,822.3342990971429,6.0,0.17,-123.51999288000002
239,575,4,1539.85004428,384.96251107,4.0,0.11,-611.2499540200001
240,512,3,991.8700295199999,330.6233431733333,4.0,0.09,-172.34998987000003
241,124,7,5352.38008126,764.6257258942858,5.0,0.12,775.909981607
242,171,7,5009.63013468,715.6614478114286,4.0,0.12,462.52000048
243,237,4,2549.61004262,637.402510655,4.0,0.14,86.04999732
244,833,4,2804.64004516,701.16001129,6.0,0.1,679.959992437
245,504,6,5202.36010179,867.060016965,5.0,0.09,158.94003103600005
246,745,3,1719.82004554,573.2733485133333,4.0,0.08,593.210002935
247,382,6,4834.49010468,805.7483507799999,4.0,0.14,21.520006440000046
248,201,6,3039.57005326,506.59500887666667,6.0,0.09,934.389983124
249,157,3,2069.7300262,689.9100087333333,4.0,0.11,-38.490009019999995
250,143,3,1619.83003616,539.9433453866667,6.0,0.09,1079.35000617
251,424,5,1601.9200135,320.3840027,5.0,0.13,-249.689998356
252,305,5,4694.64012731,938.928025462,5.0,0.13,-486.17997555999995
253,423,1,309.88999558,309.88999558,4.0,0.13,377.149993929
254,133,8,4939.4401398,617.430017475,5.0,0.14,383.51000116
255,671,5,3355.63003541,671.126007082,5.0,0.11,810.28000444
256,355,10,4169.48007202,416.948007202,2.0,0.19,-143.439993395
257,242,6,3809.46007168,634.9100119466667,6.0,0.12,1208.449997108
258,336,6,3409.6101036,568.2683506,5.0,0.09,-265.960001668
259,190,7,4617.5700875,659.6528696428571,5.0,0.13,1071.670007666
260,128,5,3029.7900849,605.9580169799999,3.0,0.08,1047.299980511
261,381,3,1799.8600311,599.9533437,5.0,0.11,213.10999101599995
262,275,5,2209.82006092,441.96401218399996,5.0,0.11,230.16000652999998
263,358,1,687.9700164999999,687.9700164999999,4.0,0.1,245.43001505999996
264,517,4,2089.78005598,522.445013995,3.0,0.07,276.7999935
265,228,4,1529.88004694,382.470011735,3.0,0.16,-817.67999451
266,275,6,2854.62005228,475.7700087133333,2.0,0.09,247.71000765000002
267,137,4,1479.83002858,369.957507145,4.0,0.1,471.549993509
268,252,4,1881.85003863,470.4625096575,2.0,0.12,436.159997004
269,998,2,1479.8300324,739.9150162,5.0,0.12,706.26999571
270,188,5,4069.59010326,813.918020652,3.0,0.12,300.450001719
271,516,4,2929.6100654399997,732.4025163599999,4.0,0.15,413.229996816
272,126,10,4449.5900936709995,444.95900936709995,2.0,0.15,-969.59997561
273,406,4,2269.76005556,567.44001389,4.0,0.11,605.490003536
274,280,4,1619.88002396,404.97000599,5.0,0.08,5.209995883
275,192,6,3649.7601014,608.2933502333334,5.0,0.11,1435.410002598
276,160,6,3297.5500756399997,549.5916792733333,4.0,0.13,221.430006056
277,177,5,3447.70008858,689.540017716,4.0,0.13,154.179995093
278,1003,1,759.93001178,759.93001178,4.0,0.1,616.930004809
279,153,4,1434.91002658,358.727506645,4.0,0.11,8.729995785
280,212,4,2839.64003763,709.9100094075,5.0,0.09,810.279992013
281,420,4,1549.76003648,387.44000912,4.0,0.06,285.6299934
282,144,6,1689.77003488,281.62833914666663,4.0,0.09,83.89999904999999
283,124,4,3679.70005412,919.92501353,5.0,0.09,412.59000396
284,149,5,2654.6300354,530.92600708,2.0,0.1,389.600002324
285,136,8,4459.57011424,557.44626428,3.0,0.1,87.38999726
286,214,5,4119.44009786,823.888019572,4.0,0.11,698.120001778
287,488,5,3059.67007446,611.9340148919999,5.0,0.09,475.79000286999997
288,331,6,3454.59003836,575.7650063933334,4.0,0.13,133.39998942300005
289,516,6,4066.54008114,677.75668019,4.0,0.1,738.49999237
290,143,8,4684.43011303,585.55376412875,3.0,0.07,529.41000174
291,202,5,6029.4801483,1205.89602966,5.0,0.1,451.269992248
292,296,1,1164.88003158,1164.88003158,5.0,0.09,458.390007746
293,347,5,2469.72006222,493.94401244399995,5.0,0.11,445.560000469
294,141,3,2439.7500611,813.2500203666667,5.0,0.09,-26.009985109999974
295,197,3,1489.8700523799998,496.62335079333326,3.0,0.05,147.919986742
296,467,7,4559.4000740599995,651.342867722857,4.0,0.08,-91.71999124999999
297,197,6,3169.57007978,528.2616799633333,3.0,0.12,-2.309990903000042
298,208,2,1089.88003542,544.94001771,2.0,0.12,-255.32999989900003
299,283,2,1039.86001966,519.93000983,5.0,0.08,681.940006263
300,137,6,3638.46009456,606.41001576,3.0,0.07,595.69000144
301,150,3,1139.8700104,379.9566701333333,3.0,0.1,380.32000354
302,1061,1,199.9199982,199.9199982,2.0,0.04,13.639999869000007
303,397,3,2879.61006156,959.8700205199999,5.0,0.08,512.730013227
304,589,2,1469.8000336,734.9000168,3.0,0.11,279.68999863
305,232,5,3289.7700845,657.9540168999999,1.0,0.13,-133.3999939
306,873,4,2165.70003134,541.425007835,4.0,0.12,338.210001251
307,867,2,1261.79000856,630.89500428,4.0,0.11,-649.989993099
308,188,7,4759.44007892,679.9200112742857,3.0,0.09,118.58000365499994
309,199,3,1559.8300437799999,519.9433479266667,4.0,0.09,498.47999189
310,332,3,1639.76003272,546.5866775733333,3.0,0.08,468.549997642
311,240,5,3314.80007176,662.9600143519999,4.0,0.11,877.05998731
312,202,5,3106.71006024,621.342012048,3.0,0.15,-36.069995852999995
313,267,3,1868.80003734,622.93334578,4.0,0.09,518.969995763
314,159,6,3909.5600587,651.5933431166667,5.0,0.09,412.580001823
315,386,5,3304.55003356,660.910006712,5.0,0.08,-679.0800270719999
316,216,5,2549.66006293,509.93201258600004,5.0,0.12,364.76999712500003
317,535,4,3369.61005408,842.40251352,5.0,0.07,322.00999737300003
318,175,4,3464.6600952,866.1650238,5.0,0.1,860.67999839
319,272,5,3409.6400680799998,681.9280136159999,6.0,0.1,735.26000126
320,687,4,1966.74003791,491.6850094775,5.0,0.11,911.58001538
321,140,9,4397.46010222,488.6066780244445,4.0,0.08,-784.869983648
322,270,2,669.93001938,334.96500969,5.0,0.09,562.11998939
323,144,4,1413.77003488,353.44250872,6.0,0.08,429.449995006
324,449,4,3284.7200776,821.1800194,5.0,0.1,735.179994424
325,141,3,1999.7800446,666.5933482,2.0,0.1,-288.6000061
326,168,9,4939.49012396,548.8322359955556,4.0,0.12,145.760004281
327,200,5,3599.4700547,719.89401094,5.0,0.11,690.83999825
328,299,6,4517.5600950299995,752.9266825049999,3.0,0.09,-450.30998805999997
329,251,8,4793.41009146,599.1762614325,5.0,0.12,1224.069991808
330,233,4,2309.78003705,577.4450092625,5.0,0.09,-150.76001279399998
331,141,5,3439.5400773,687.90801546,4.0,0.09,802.2800106550001
332,192,4,2189.6300468199997,547.4075117049999,6.0,0.09,361.89999611900004
333,191,5,2439.72003554,487.944007108,5.0,0.12,517.159997
334,128,6,2014.71002957,335.7850049283333,4.0,0.11,327.13000818499995
335,221,10,5624.3401144399995,562.4340114439999,3.0,0.11,334.589995379
336,176,5,2989.70005991,597.940011982,5.0,0.15,276.74000481400003
337,193,4,2089.79006202,522.447515505,5.0,0.11,247.8999939
338,131,4,1909.790062,477.4475155,4.0,0.09,1206.71999835
340,630,3,899.7900161800001,299.9300053933334,5.0,0.09,589.310003209
341,157,9,7516.0201378599995,835.1133486511111,4.0,0.07,684.58000752
342,187,6,4329.50010692,721.5833511533333,4.0,0.15,380.77000045
343,222,5,3654.66008374,730.932016748,,,
344,227,3,2229.7400398199998,743.2466799399999,3.0,0.11,-317.72999863
345,394,6,2989.68007663,498.28001277166663,6.0,0.11,1329.03999466
346,435,3,1429.81002046,476.60334015333336,4.0,0.13,922.610008356
347,226,4,2347.63004877,586.9075121925,5.0,0.12,-918.28999519
348,382,3,2294.63001634,764.8766721133334,4.0,0.09,39.67000679899997
349,513,5,2609.630043,521.9260086,4.0,0.12,969.76999284
350,436,3,1759.69000252,586.5633341733334,4.0,0.1,367.489999794
351,136,7,4319.49008564,617.0700122342857,4.0,0.1,302.530014981
352,325,7,2266.73006824,323.81858117714285,5.0,0.11,-333.279988218
353,159,5,3019.78006758,603.956013516,4.0,0.12,696.230004278
354,162,10,4693.51008232,469.351008232,4.0,0.11,143.41000912399997
355,277,3,1859.8200378,619.9400125999999,6.0,0.1,278.99001000999993
356,156,8,3159.44001398,394.9300017475,4.0,0.09,558.9999999629999
357,485,6,2425.72007569,404.2866792816667,4.0,0.11,414.370003664
358,130,4,2699.75007248,674.93751812,6.0,0.12,725.459994297
359,147,5,4269.55008704,853.910017408,4.0,0.08,-254.71000579000003
361,173,6,2279.8100434,379.96834056666665,5.0,0.08,-420.47999954200003
362,840,1,1079.92003254,1079.92003254,4.0,0.11,334.45999787
363,134,6,3364.55004876,560.75834146,3.0,0.1,275.14002424200004
364,167,9,5304.4001292699995,589.3777921411111,5.0,0.11,112.42000100500007
365,632,2,1179.86002348,589.93001174,,,
366,502,4,3339.58006274,834.895015685,4.0,0.1,-339.389998965
367,452,3,1179.7800293,393.26000976666666,2.0,0.06,41.06000229599999
368,125,5,4094.5601121,818.91202242,5.0,0.11,147.120005177
369,255,5,3339.71007938,667.942015876,6.0,0.07,421.55996289099994
370,187,6,2569.70004272,428.2833404533333,3.0,0.09,-175.710005786
371,123,6,4919.7300415,819.9550069166667,5.0,0.11,-266.199967091
372,220,2,1609.83000948,804.91500474,2.0,0.08,255.45000268
373,173,7,5257.54010778,751.0771582542857,4.0,0.12,179.48000385
374,211,5,3354.62007132,670.924014264,5.0,0.13,188.99999743300003
375,334,4,2390.65002822,597.662507055,4.0,0.08,514.320001844
376,186,7,4887.3801002,698.1971571714286,5.0,0.11,81.06001189399998
377,395,7,4473.44009024,639.0628700342858,5.0,0.12,1.1400069900000247
378,127,4,2829.72007756,707.43001939,5.0,0.11,846.93999201
379,208,5,3209.59005368,641.918010736,5.0,0.12,326.729987615
380,806,5,1943.71003531,388.74200706199997,4.0,0.12,612.3199932709999
381,412,4,2529.74005902,632.435014755,5.0,0.1,-193.04001349400002
382,124,5,4139.63999928,827.9279998559999,5.0,0.09,1038.660005132
383,317,7,4739.51010914,677.0728727342857,4.0,0.15,154.99000269399997
384,139,5,3644.74007804,728.948015608,4.0,0.12,820.199990847
385,795,3,1229.8200379,409.9400126333333,4.0,0.13,147.04000857100002
386,515,2,1077.84002311,538.920011555,3.0,0.12,755.66000553
387,289,6,3369.34006877,561.5566781283334,3.0,0.1,-537.940000035
388,425,7,5309.49014664,758.4985923771428,4.0,0.09,992.800004212
389,326,3,1129.78001784,376.59333928,4.0,0.13,618.62000179
390,268,4,3344.73005676,836.18251419,2.0,0.1,146.73000343
391,394,6,3302.67004396,550.4450073266667,4.0,0.07,384.67000966
392,305,4,1839.8100471399998,459.95251178499996,4.0,0.1,-420.669991043
393,484,4,1639.79002386,409.947505965,4.0,0.1,721.2599902960001
394,172,6,4205.38003544,700.8966725733334,3.0,0.11,344.539999028
395,189,2,349.95000456,174.97500228,5.0,0.09,412.57999945299997
396,380,6,5049.26008986,841.54334831,5.0,0.07,511.51000213
397,518,4,2284.73004149,571.1825103725,4.0,0.13,337.15000578499996
398,240,5,2499.8500215,499.97000429999997,5.0,0.11,419.619998487
399,319,2,979.8700104,489.9350052,5.0,0.07,-186.08001314000003
400,224,5,3246.68006703,649.336013406,3.0,0.13,-229.57998945000003
401,675,2,579.9500198999999,289.97500994999996,5.0,0.13,1072.159999082
402,573,2,1469.79002764,734.89501382,5.0,0.1,687.399998667
403,122,4,1979.8000374,494.95000935,4.0,0.09,-99.54999640900002
404,210,5,2198.66004562,439.732009124,3.0,0.12,70.509999757
