Delivery Status,Late_delivery_risk,Days for shipping (real),Days for shipment (scheduled),Shipping Mode,Order Region,Order Country,order date (DateOrders)
Late delivery,1,1,0,Same Day,Southeast Asia,Singapur,1/12/2018 22:27
Shipping on time,0,4,4,Standard Class,Southeast Asia,Indonesia,1/12/2018 22:05
Advance shipping,0,3,4,Standard Class,Southeast Asia,Indonesia,1/12/2018 21:44
Advance shipping,0,2,4,Standard Class,Oceania,Australia,1/12/2018 21:23
Late delivery,1,6,4,Standard Class,South Asia,India,1/12/2018 21:02
Late delivery,1,5,2,Second Class,South Asia,India,1/12/2018 20:41
Shipping on time,0,4,4,Standard Class,Eastern Asia,China,1/12/2018 20:20
Late delivery,1,5,2,Second Class,South Asia,India,2/24/2016 13:57
Shipping on time,0,2,2,Second Class,West Asia,Turquía,10/25/2016 14:39
Late delivery,1,6,2,Second Class,Oceania,Australia,3/30/2016 4:37
Shipping on time,0,2,2,Second Class,West Asia,Turquía,10/30/2016 1:31
Late delivery,1,3,2,Second Class,Eastern Asia,Mongolia,11/28/2016 1:18
Late delivery,1,5,2,Second Class,West Asia,Turquía,12/31/2016 15:47
Late delivery,1,6,2,Second Class,South Asia,India,10/25/2015 6:24
Shipping on time,0,2,2,Second Class,West of USA ,Estados Unidos,6/11/2016 15:12
Late delivery,1,5,2,Second Class,West of USA ,Estados Unidos,8/24/2016 21:45
Late delivery,1,6,2,Second Class,West of USA ,Estados Unidos,4/13/2016 10:12
Late delivery,1,4,2,Second Class,US Center ,Estados Unidos,5/22/2016 14:10
Shipping on time,0,2,2,Second Class,West Africa,Nigeria,10/4/2016 22:55
Late delivery,1,5,2,Second Class,Central Africa,República Democrática del Congo,11/8/2016 12:32
Late delivery,1,5,2,Second Class,West Africa,Senegal,11/11/2016 5:21
Late delivery,1,5,2,Second Class,North Africa,Marruecos,12/8/2016 0:14
Late delivery,1,3,2,Second Class,Western Europe,Alemania,7/7/2015 5:31
Shipping on time,0,2,2,Second Class,Western Europe,Francia,7/22/2017 7:16
Late delivery,1,6,2,Second Class,Western Europe,Francia,8/7/2017 6:33
Late delivery,1,4,2,Second Class,Western Europe,Países Bajos,9/22/2015 7:41
Shipping on time,0,2,2,Second Class,Northern Europe,Reino Unido,7/2/2017 9:03
Late delivery,1,3,2,Second Class,Northern Europe,Reino Unido,9/8/2015 12:15
Late delivery,1,3,2,Second Class,Western Europe,Francia,8/20/2017 7:03
Shipping on time,0,2,2,Second Class,Western Europe,Francia,7/22/2017 7:16
Late delivery,1,4,2,Second Class,Northern Europe,Reino Unido,8/4/2017 2:31
Late delivery,1,3,2,Second Class,Western Europe,Alemania,9/18/2017 1:14
Late delivery,1,6,2,Second Class,Western Europe,Francia,7/2/2015 19:42
Late delivery,1,6,2,Second Class,Central America,Guatemala,3/28/2015 0:55
Late delivery,1,5,2,Second Class,Central America,El Salvador,4/2/2017 16:43
Late delivery,1,4,2,Second Class,Central America,Panamá,5/5/2017 14:23
Late delivery,1,5,2,Second Class,Caribbean,República Dominicana,4/25/2015 4:44
Late delivery,1,5,2,Second Class,South America,Venezuela,4/25/2015 1:14
Late delivery,1,5,2,Second Class,South America,Venezuela,4/25/2015 1:14
Late delivery,1,3,2,Second Class,Caribbean,República Dominicana,6/6/2017 15:03
Late delivery,1,4,2,Second Class,South America,Colombia,2/18/2017 16:36
Late delivery,1,4,2,Second Class,Central America,El Salvador,4/26/2015 3:10
Late delivery,1,4,2,Second Class,Central America,Honduras,4/10/2015 0:02
Late delivery,1,4,2,Second Class,South America,Brasil,4/11/2017 15:49
Late delivery,1,5,2,Second Class,Caribbean,República Dominicana,4/25/2015 4:44
Late delivery,1,6,2,Second Class,Central America,México,3/16/2017 2:54
Shipping on time,0,2,2,Second Class,Central America,México,3/29/2015 10:33
Late delivery,1,4,2,Second Class,Central America,México,2/3/2015 0:28
Late delivery,1,4,2,Second Class,Central America,México,2/3/2015 0:28
Late delivery,1,4,2,Second Class,Central America,México,2/18/2017 13:05
Late delivery,1,4,2,Second Class,South America,Brasil,1/18/2017 19:37
Late delivery,1,5,4,Standard Class,South America,Uruguay,3/13/2015 18:59
Late delivery,1,6,4,Standard Class,South America,Argentina,2/7/2017 9:47
Shipping on time,0,4,4,Standard Class,South America,Brasil,4/3/2015 19:08
Advance shipping,0,2,4,Standard Class,South America,Brasil,4/13/2017 14:25
Late delivery,1,6,4,Standard Class,South America,Brasil,4/2/2015 3:33
Advance shipping,0,2,4,Standard Class,Caribbean,Cuba,1/31/2017 11:43
Advance shipping,0,3,4,Standard Class,Caribbean,Cuba,3/30/2017 23:12
Late delivery,1,5,4,Standard Class,Caribbean,República Dominicana,3/25/2017 23:02
Shipping on time,0,4,4,Standard Class,Central America,México,2/5/2017 1:01
Advance shipping,0,3,4,Standard Class,Central America,Panamá,4/15/2017 14:04
Advance shipping,0,3,4,Standard Class,Central America,México,2/15/2015 18:40
Advance shipping,0,3,4,Standard Class,South America,Brasil,5/27/2017 16:48
Shipping on time,0,4,4,Standard Class,Central America,Panamá,2/25/2015 20:46
Advance shipping,0,2,4,Standard Class,South America,Brasil,5/31/2017 11:33
Shipping on time,0,4,4,Standard Class,Caribbean,Cuba,1/15/2015 4:32
Late delivery,1,5,4,Standard Class,Central America,Honduras,4/26/2017 15:16
Late delivery,1,6,4,Standard Class,South America,Perú,3/7/2017 19:12
Shipping on time,0,4,4,Standard Class,Caribbean,Cuba,4/20/2017 18:47
Late delivery,1,5,4,Standard Class,Central America,México,3/3/2017 6:14
Shipping on time,0,4,4,Standard Class,Central America,Nicaragua,6/4/2017 16:06
Advance shipping,0,3,4,Standard Class,Central America,México,5/16/2017 21:33
Late delivery,1,6,4,Standard Class,South America,Argentina,2/7/2017 9:47
Advance shipping,0,3,4,Standard Class,South America,Brasil,5/27/2015 1:32
Late delivery,1,5,4,Standard Class,Central America,El Salvador,3/28/2017 5:20
Shipping on time,0,4,4,Standard Class,Central America,México,2/5/2017 1:01
Late delivery,1,6,4,Standard Class,Central America,Guatemala,5/2/2017 3:00
Shipping on time,0,4,4,Standard Class,Caribbean,Cuba,4/3/2017 23:53
Advance shipping,0,2,4,Standard Class,South America,Argentina,4/30/2015 23:49
Late delivery,1,5,4,Standard Class,Central America,Guatemala,4/27/2017 3:32
Shipping on time,0,4,4,Standard Class,Central America,Guatemala,2/2/2015 3:27
Late delivery,1,5,4,Standard Class,South America,Ecuador,2/13/2017 16:05
Advance shipping,0,2,4,Standard Class,Central America,Nicaragua,5/27/2017 23:28
Late delivery,1,5,4,Standard Class,South America,Venezuela,3/19/2017 19:53
Shipping on time,0,4,4,Standard Class,Central America,Panamá,5/7/2015 15:56
Late delivery,1,6,4,Standard Class,Central America,Panamá,4/27/2015 11:23
Late delivery,1,6,4,Standard Class,Central America,Guatemala,4/14/2017 18:06
Advance shipping,0,2,4,Standard Class,South America,Brasil,5/7/2015 1:13
Advance shipping,0,3,4,Standard Class,South America,Brasil,6/12/2017 5:55
Advance shipping,0,2,4,Standard Class,Central America,Nicaragua,3/26/2017 15:30
Advance shipping,0,2,4,Standard Class,Central America,México,2/17/2017 11:52
Late delivery,1,6,4,Standard Class,Central America,El Salvador,1/25/2017 1:13
Advance shipping,0,3,4,Standard Class,South America,Argentina,2/6/2017 6:27
Late delivery,1,5,4,Standard Class,Central America,El Salvador,5/22/2017 6:08
Late delivery,1,5,4,Standard Class,Central America,Honduras,2/21/2017 1:00
Late delivery,1,5,4,Standard Class,Central America,México,1/6/2015 19:26
Late delivery,1,6,2,Second Class,Central Africa,Angola,1/15/2017 4:44
Late delivery,1,6,2,Second Class,North Africa,Sudán,10/28/2016 19:23
Late delivery,1,3,2,Second Class,East Africa,Somalia,9/19/2016 13:39
Late delivery,1,5,2,Second Class,North Africa,Marruecos,8/25/2016 22:16
Late delivery,1,6,2,Second Class,North Africa,Sudán,10/28/2016 19:23
Late delivery,1,4,2,Second Class,West Africa,Costa de Marfil,10/7/2016 23:26
Late delivery,1,4,2,Second Class,North Africa,Egipto,11/3/2016 21:49
Late delivery,1,5,2,Second Class,North Africa,Marruecos,8/25/2016 22:16
Late delivery,1,3,2,Second Class,Southern Europe,Italia,11/3/2017 13:05
Late delivery,1,4,2,Second Class,Western Europe,Alemania,10/14/2017 11:42
Late delivery,1,3,2,Second Class,Western Europe,Francia,11/4/2017 1:21
Late delivery,1,6,2,Second Class,Western Europe,Alemania,10/16/2017 1:12
Late delivery,1,3,2,Second Class,Western Europe,Alemania,11/3/2017 18:20
Late delivery,1,6,2,Second Class,Southern Europe,Italia,10/13/2017 3:08
Late delivery,1,6,2,Second Class,Western Europe,Alemania,11/2/2017 10:06
Late delivery,1,5,2,Second Class,Northern Europe,Reino Unido,10/29/2017 12:55
Shipping on time,0,2,2,Second Class,Western Europe,Francia,10/13/2017 8:44
Late delivery,1,3,2,Second Class,Western Europe,Alemania,10/11/2017 6:17
Late delivery,1,5,2,Second Class,Northern Europe,Reino Unido,10/30/2017 1:10
Late delivery,1,4,2,Second Class,Southern Europe,Italia,10/13/2017 14:41
Shipping on time,0,2,2,Second Class,Northern Europe,Reino Unido,11/3/2017 3:58
Late delivery,1,4,2,Second Class,Southern Europe,Italia,10/10/2017 4:21
Late delivery,1,4,2,Second Class,Southern Europe,España,11/4/2017 5:12
Late delivery,1,5,2,Second Class,Western Europe,Francia,10/26/2017 14:51
Shipping on time,0,2,2,Second Class,Southern Europe,España,10/13/2017 13:59
Late delivery,1,6,2,Second Class,Western Europe,Francia,11/1/2017 20:05
Late delivery,1,4,2,Second Class,Northern Europe,Reino Unido,10/17/2017 11:32
Late delivery,1,3,2,Second Class,Western Europe,Francia,11/1/2017 19:02
Late delivery,1,3,2,Second Class,Western Europe,Francia,10/13/2017 12:35
Late delivery,1,6,2,Second Class,Northern Europe,Reino Unido,11/1/2017 18:20
Late delivery,1,5,2,Second Class,Southern Europe,Italia,11/1/2017 5:44
Late delivery,1,5,2,Second Class,Western Europe,Alemania,11/2/2017 13:15
Late delivery,1,4,2,Second Class,Northern Europe,Reino Unido,10/13/2017 18:11
Late delivery,1,3,2,Second Class,Southern Europe,Italia,10/11/2017 22:03
Late delivery,1,6,2,Second Class,Western Europe,Alemania,11/3/2017 14:08
Late delivery,1,5,2,Second Class,Northern Europe,Reino Unido,10/26/2017 18:21
Shipping on time,0,2,2,Second Class,Northern Europe,Reino Unido,10/11/2017 2:26
Late delivery,1,5,2,Second Class,Western Europe,Francia,10/2/2017 11:01
Late delivery,1,5,2,Second Class,Southern Europe,España,9/8/2017 3:42
Late delivery,1,6,2,Second Class,Northern Europe,Suecia,9/17/2015 23:17
Late delivery,1,4,2,Second Class,Northern Europe,Reino Unido,10/2/2015 7:40
Late delivery,1,5,2,Second Class,Western Europe,Alemania,8/8/2017 10:13
Late delivery,1,4,2,Second Class,Northern Europe,Reino Unido,8/17/2015 18:35
Late delivery,1,4,2,Second Class,Western Europe,Países Bajos,9/23/2015 9:57
Late delivery,1,5,2,Second Class,Western Europe,Austria,10/23/2015 8:31
Late delivery,1,5,2,Second Class,Western Europe,Austria,7/11/2015 18:49
Shipping canceled,0,5,4,Standard Class,US Center ,Estados Unidos,5/8/2016 17:42
Shipping canceled,0,5,4,Standard Class,West of USA ,Estados Unidos,4/2/2016 19:51
Shipping canceled,0,6,4,Standard Class,West of USA ,Estados Unidos,8/14/2016 2:51
Shipping canceled,0,5,4,Standard Class,West of USA ,Estados Unidos,4/2/2016 19:51
Shipping canceled,0,2,4,Standard Class,West of USA ,Estados Unidos,5/18/2016 16:38
Shipping canceled,0,3,4,Standard Class,West of USA ,Estados Unidos,5/5/2016 13:40
Shipping canceled,0,3,4,Standard Class,East of USA,Estados Unidos,4/21/2016 2:50
Shipping canceled,0,2,4,Standard Class,US Center ,Estados Unidos,7/1/2016 8:10
Shipping canceled,0,3,4,Standard Class,East of USA,Estados Unidos,4/21/2016 2:50
Shipping canceled,0,6,4,Standard Class,Canada,Canada,12/17/2016 8:48
Shipping canceled,0,5,4,Standard Class,US Center ,Estados Unidos,5/8/2016 17:42
Shipping canceled,0,6,4,Standard Class,Canada,Canada,12/17/2016 8:48
Shipping canceled,0,4,4,Standard Class,Canada,Canada,8/30/2016 14:02
Shipping canceled,0,2,4,Standard Class,East of USA,Estados Unidos,7/27/2016 6:01
Shipping canceled,0,4,4,Standard Class,US Center ,Estados Unidos,7/17/2016 10:14
Shipping canceled,0,6,4,Standard Class,US Center ,Estados Unidos,7/6/2016 10:26
Shipping canceled,0,2,4,Standard Class,East Africa,Madagascar,9/9/2016 22:05
Shipping canceled,0,6,4,Standard Class,North Africa,Argelia,8/26/2016 12:38
Shipping canceled,0,4,4,Standard Class,West Africa,Liberia,1/16/2017 22:04
Shipping canceled,0,4,4,Standard Class,West Africa,Liberia,1/16/2017 22:04
Shipping canceled,0,5,4,Standard Class,North Africa,Sudán,9/28/2016 10:19
Shipping canceled,0,2,4,Standard Class,West Africa,Costa de Marfil,9/3/2016 15:26
Advance shipping,0,2,4,Standard Class,East Africa,Zambia,9/16/2016 1:13
Shipping on time,0,4,4,Standard Class,North Africa,Marruecos,10/20/2016 3:59
Late delivery,1,5,4,Standard Class,North Africa,Egipto,1/7/2017 0:11
Late delivery,1,5,4,Standard Class,West Africa,Senegal,10/10/2016 6:06
Advance shipping,0,2,4,Standard Class,North Africa,Egipto,9/6/2016 13:30
Late delivery,1,5,4,Standard Class,North Africa,Marruecos,1/6/2017 1:25
Late delivery,1,6,4,Standard Class,West Africa,Costa de Marfil,12/28/2016 7:33
Late delivery,1,5,4,Standard Class,North Africa,Egipto,8/25/2016 18:46
Shipping on time,0,4,4,Standard Class,West Africa,Níger,9/5/2016 10:10
Late delivery,1,5,4,Standard Class,North Africa,Marruecos,11/28/2016 9:00
Advance shipping,0,3,4,Standard Class,Southern Africa,SudAfrica,9/2/2016 13:30
Shipping on time,0,4,4,Standard Class,North Africa,Marruecos,11/19/2016 21:27
Advance shipping,0,2,4,Standard Class,North Africa,Sudán,9/14/2016 5:26
Late delivery,1,5,4,Standard Class,West Africa,Nigeria,11/5/2016 9:13
Shipping on time,0,4,4,Standard Class,West Africa,Nigeria,12/8/2016 12:08
Late delivery,1,5,4,Standard Class,East Africa,Mozambique,1/14/2017 14:22
Late delivery,1,5,4,Standard Class,Southern Africa,SudAfrica,11/5/2016 19:43
Advance shipping,0,3,4,Standard Class,East Africa,Tanzania,9/17/2016 23:07
Advance shipping,0,3,4,Standard Class,East Africa,Somalia,11/14/2016 13:14
Late delivery,1,5,4,Standard Class,East Africa,Ruanda,12/11/2016 15:49
Late delivery,1,5,4,Standard Class,East Africa,Ruanda,12/11/2016 15:49
Advance shipping,0,2,4,Standard Class,North Africa,Egipto,11/8/2016 13:14
Shipping on time,0,4,4,Standard Class,Southern Africa,SudAfrica,11/22/2016 2:00
Advance shipping,0,2,4,Standard Class,West Asia,Turquía,8/31/2016 12:06
Advance shipping,0,2,4,Standard Class,West Asia,Israel,9/3/2016 13:41
Shipping on time,0,4,4,Standard Class,Oceania,Australia,2/16/2016 4:09
Advance shipping,0,3,4,Standard Class,Oceania,Australia,12/31/2015 19:27
Advance shipping,0,2,4,Standard Class,Oceania,Nueva Zelanda,3/26/2016 8:07
Late delivery,1,5,4,Standard Class,Oceania,Australia,1/2/2016 0:11
Late delivery,1,6,4,Standard Class,Oceania,Australia,1/27/2018 2:38
Shipping on time,0,4,4,Standard Class,South Asia,Bangladés,1/3/2016 7:22
Advance shipping,0,2,4,Standard Class,South Asia,India,2/14/2016 5:54
Late delivery,1,5,4,Standard Class,Southeast Asia,Tailandia,11/28/2015 1:06
Late delivery,1,6,4,Standard Class,Southeast Asia,Tailandia,12/11/2015 15:17
Shipping on time,0,4,4,Standard Class,West Asia,Irak,9/17/2016 4:12
Advance shipping,0,2,4,Standard Class,West Asia,Israel,9/3/2016 13:41
Shipping on time,0,4,4,Standard Class,West Asia,Turquía,12/12/2016 1:59
Shipping on time,0,4,4,Standard Class,West Asia,Arabia Saudí,10/28/2016 15:11
Advance shipping,0,2,4,Standard Class,Eastern Asia,China,12/27/2017 20:01
Shipping on time,0,4,4,Standard Class,Eastern Asia,China,2/12/2016 12:34
Advance shipping,0,3,4,Standard Class,Oceania,Australia,3/15/2016 7:58
Advance shipping,0,2,4,Standard Class,Oceania,Nueva Zelanda,3/28/2016 0:25
Shipping on time,0,4,4,Standard Class,Oceania,Australia,3/14/2016 20:03
Late delivery,1,5,4,Standard Class,South Asia,India,11/18/2015 9:53
Late delivery,1,6,4,Standard Class,Southeast Asia,Filipinas,12/20/2015 16:29
Shipping on time,0,4,4,Standard Class,West Asia,Turquía,12/12/2016 1:59
Shipping on time,0,4,4,Standard Class,West Asia,Turquía,9/10/2016 5:47
Shipping on time,0,4,4,Standard Class,West Asia,Arabia Saudí,10/28/2016 15:11
Late delivery,1,5,4,Standard Class,Central Asia,Kazajistán,9/7/2016 1:04
Advance shipping,0,3,4,Standard Class,Eastern Asia,China,11/11/2015 3:45
Advance shipping,0,3,4,Standard Class,Eastern Asia,China,12/13/2015 22:17
Shipping on time,0,4,4,Standard Class,Eastern Asia,China,1/7/2016 5:57
Shipping on time,0,4,4,Standard Class,Eastern Asia,China,12/14/2017 15:39
Late delivery,1,6,4,Standard Class,Oceania,Australia,3/15/2016 3:45
Advance shipping,0,3,4,Standard Class,Oceania,Australia,3/16/2016 10:14
Shipping on time,0,4,4,Standard Class,Oceania,Australia,2/6/2016 2:25
Advance shipping,0,2,4,Standard Class,Oceania,Australia,1/28/2018 15:46
Shipping on time,0,4,4,Standard Class,South Asia,India,12/18/2015 5:59
Late delivery,1,5,4,Standard Class,South Asia,Irán,1/17/2017 12:26
Late delivery,1,5,4,Standard Class,South Asia,India,12/13/2017 20:44
Shipping on time,0,4,4,Standard Class,Southeast Asia,Indonesia,12/26/2017 18:26
Advance shipping,0,2,4,Standard Class,Southeast Asia,Indonesia,1/27/2016 12:14
Advance shipping,0,3,4,Standard Class,Southeast Asia,Myanmar (Birmania),1/30/2018 11:54
Shipping on time,0,4,4,Standard Class,West Asia,Turquía,8/30/2016 8:47
Late delivery,1,5,4,Standard Class,West Asia,Irak,11/17/2016 4:59
Advance shipping,0,2,4,Standard Class,Central Asia,Uzbekistán,12/29/2016 15:26
Advance shipping,0,2,4,Standard Class,Eastern Asia,China,3/10/2016 4:59
Shipping on time,0,4,4,Standard Class,Eastern Asia,China,11/24/2017 19:11
Shipping on time,0,4,4,Standard Class,West Africa,Benín,12/10/2016 13:11
Advance shipping,0,2,4,Standard Class,West Africa,Nigeria,10/26/2016 6:25
Advance shipping,0,3,4,Standard Class,West Africa,Nigeria,10/19/2016 6:36
Shipping on time,0,4,4,Standard Class,Central Africa,República Democrática del Congo,11/6/2016 23:24
Late delivery,1,6,4,Standard Class,West Africa,Nigeria,9/29/2016 16:27
Shipping on time,0,4,4,Standard Class,Central Africa,Camerún,9/3/2016 12:38
Late delivery,1,5,4,Standard Class,Central Africa,Angola,11/7/2016 10:15
Advance shipping,0,3,4,Standard Class,West Africa,Nigeria,11/12/2016 5:10
Advance shipping,0,3,4,Standard Class,East Africa,Kenia,11/26/2016 12:30
Late delivery,1,6,4,Standard Class,East Africa,Zambia,12/9/2016 22:07
Late delivery,1,5,4,Standard Class,West Africa,Nigeria,10/2/2016 15:55
Shipping on time,0,4,4,Standard Class,Central Africa,Camerún,10/20/2016 21:30
Late delivery,1,6,4,Standard Class,Central Africa,República Democrática del Congo,10/6/2016 14:51
Late delivery,1,5,4,Standard Class,West Africa,Togo,12/19/2016 9:30
Late delivery,1,6,4,Standard Class,Southern Africa,SudAfrica,9/2/2016 12:48
Late delivery,1,5,4,Standard Class,West Africa,Senegal,10/11/2016 15:22
Advance shipping,0,2,4,Standard Class,East Africa,Madagascar,10/11/2016 12:34
Late delivery,1,5,4,Standard Class,West Africa,Togo,10/27/2016 0:59
Late delivery,1,5,4,Standard Class,West Africa,Nigeria,10/5/2016 8:44
Advance shipping,0,3,4,Standard Class,North Africa,Argelia,12/28/2016 18:46
Advance shipping,0,2,4,Standard Class,North Africa,Marruecos,9/1/2016 23:08
Advance shipping,0,3,4,Standard Class,West Africa,Benín,12/2/2016 6:54
Advance shipping,0,2,4,Standard Class,North Africa,Sudán,10/8/2016 16:15
Advance shipping,0,2,4,Standard Class,East Africa,Tanzania,8/30/2016 2:49
Advance shipping,0,2,4,Standard Class,North Africa,Egipto,10/18/2016 14:29
Late delivery,1,6,4,Standard Class,Southern Africa,SudAfrica,8/29/2016 10:42
Late delivery,1,6,4,Standard Class,Southern Africa,SudAfrica,12/29/2016 13:20
Late delivery,1,6,4,Standard Class,Western Europe,Francia,10/13/2015 22:53
Late delivery,1,6,4,Standard Class,Eastern Europe,Ucrania,9/29/2016 4:11
Advance shipping,0,3,4,Standard Class,Western Europe,Francia,8/10/2015 21:35
Advance shipping,0,3,4,Standard Class,Southern Europe,España,8/14/2015 16:40
Late delivery,1,6,4,Standard Class,Western Europe,Francia,8/10/2015 5:07
Advance shipping,0,2,4,Standard Class,Western Europe,Francia,7/29/2017 19:42
Shipping on time,0,4,4,Standard Class,Western Europe,Francia,9/5/2017 10:32
Advance shipping,0,2,4,Standard Class,Western Europe,Francia,6/28/2017 22:43
Late delivery,1,5,4,Standard Class,Western Europe,Alemania,6/15/2015 10:27
Late delivery,1,6,4,Standard Class,Southern Europe,Italia,7/6/2017 23:03
Shipping on time,0,4,4,Standard Class,Southern Europe,Italia,9/5/2017 0:02
Advance shipping,0,3,4,Standard Class,Eastern Europe,Polonia,11/17/2016 2:32
Late delivery,1,6,4,Standard Class,Southern Europe,España,7/15/2017 3:15
Advance shipping,0,2,4,Standard Class,Western Europe,Francia,9/13/2017 7:01
Late delivery,1,5,4,Standard Class,Western Europe,Francia,10/3/2015 15:33
Late delivery,1,6,4,Standard Class,Southern Europe,Portugal,10/3/2015 1:53
Late delivery,1,5,4,Standard Class,Northern Europe,Reino Unido,9/2/2017 21:35
Late delivery,1,6,4,Standard Class,Eastern Europe,Rumania,11/16/2016 10:04
Advance shipping,0,3,4,Standard Class,Central America,México,3/13/2017 21:18
Late delivery,1,6,4,Standard Class,South America,Colombia,6/1/2017 8:13
Advance shipping,0,2,4,Standard Class,Central America,México,2/21/2017 5:12
Shipping on time,0,4,4,Standard Class,Central America,México,4/6/2017 11:27
Late delivery,1,6,4,Standard Class,South America,Brasil,1/27/2017 2:16
Advance shipping,0,3,4,Standard Class,South America,Brasil,2/12/2015 20:36
Advance shipping,0,2,4,Standard Class,South America,Brasil,3/5/2017 18:30
Shipping on time,0,4,4,Standard Class,Central America,México,5/5/2017 17:53
Advance shipping,0,2,4,Standard Class,South America,Colombia,4/19/2015 4:03
Shipping on time,0,4,4,Standard Class,Central America,México,3/20/2015 1:17
Advance shipping,0,3,4,Standard Class,Caribbean,República Dominicana,5/22/2017 1:56
Shipping on time,0,4,4,Standard Class,Central America,México,5/18/2017 12:26
Late delivery,1,5,4,Standard Class,Caribbean,Trinidad y Tobago,2/20/2015 11:29
Late delivery,1,6,4,Standard Class,Central America,Guatemala,5/4/2015 15:04
Late delivery,1,6,4,Standard Class,South America,Brasil,2/19/2017 7:19
Late delivery,1,5,4,Standard Class,Central America,México,1/30/2015 9:14
Late delivery,1,5,4,Standard Class,Central America,Panamá,3/26/2017 23:33
Advance shipping,0,3,4,Standard Class,Central America,México,2/6/2017 13:27
Advance shipping,0,3,4,Standard Class,Central America,México,3/31/2017 16:43
Late delivery,1,5,4,Standard Class,South America,Brasil,4/24/2017 3:43
Advance shipping,0,3,4,Standard Class,Central America,Honduras,3/31/2017 14:58
Shipping on time,0,4,4,Standard Class,Central America,Guatemala,3/28/2015 0:13
Shipping on time,0,4,4,Standard Class,Central America,Honduras,3/22/2015 16:21
Advance shipping,0,3,4,Standard Class,South America,Venezuela,1/6/2015 8:13
Shipping on time,0,4,4,Standard Class,South America,Brasil,2/3/2017 5:14
Late delivery,1,5,4,Standard Class,South America,Brasil,1/27/2015 0:39
Advance shipping,0,3,4,Standard Class,Caribbean,Cuba,5/30/2017 11:22
Advance shipping,0,2,4,Standard Class,Central America,México,4/9/2015 21:35
Advance shipping,0,3,4,Standard Class,Central America,Guatemala,3/7/2015 11:38
Advance shipping,0,2,4,Standard Class,Central America,Guatemala,5/22/2015 7:20
Shipping on time,0,4,4,Standard Class,Central America,Guatemala,6/7/2017 12:25
Advance shipping,0,2,4,Standard Class,Central America,El Salvador,2/16/2017 0:50
Advance shipping,0,2,4,Standard Class,South America,Brasil,2/6/2017 20:07
